[2026-06-03 20:48:24,192] INFO [Broker id=1] Transitioning 51 partition(s) to local leaders. (state.change.logger)
[2026-06-03 20:48:24,419] INFO [Broker id=1] Leader __consumer_offsets-13 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:24,763] INFO [Broker id=1] Leader __consumer_offsets-46 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:24,774] INFO [Broker id=1] Leader __consumer_offsets-9 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,205] INFO [Broker id=1] Leader __consumer_offsets-42 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,211] INFO [Broker id=1] Leader __consumer_offsets-21 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,218] INFO [Broker id=1] Leader __consumer_offsets-17 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,333] INFO [Broker id=1] Leader __consumer_offsets-30 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,540] INFO [Broker id=1] Leader __consumer_offsets-26 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,551] INFO [Broker id=1] Leader __consumer_offsets-5 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,775] INFO [Broker id=1] Leader __consumer_offsets-38 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,793] INFO [Broker id=1] Leader __consumer_offsets-1 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
